"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"7/15/2022","ONLINE TRANSFER TO SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","($400)"
"7/15/2022","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($600)"
"7/14/2022","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$600"
"7/14/2022","TROPICAL SMOOTHIE CAFE","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($6.46)"
"7/13/2022","EXXONMOBIL","Chase - via Direct Web API","CHASE FREEDOM","Gas & Fuel","No","No","($27.29)"
"7/13/2022","SUBWAY","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($11.02)"
"7/12/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.5)"
"7/11/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($2.1)"
"7/10/2022","STARBUCKS STORE","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($3.29)"
"7/10/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($5.41)"
"7/10/2022","CYBERGHOST VPN GBR","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($89.31)"
"7/9/2022","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","$400"
"7/9/2022","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE CHECKING","Savings","No","No","($400)"
"7/9/2022","PRIVATEINTERNETACCESS","Chase - via Direct Web API","CHASE FREEDOM","Phone, Internet & Cable","No","No","$56.94"
"7/9/2022","PRIVATEINTERNETACCESS","Chase - via Direct Web API","CHASE FREEDOM","Phone, Internet & Cable","No","No","($56.94)"
"7/9/2022","YOUTUBE GURGAON","Charles Schwab US","CHARLES SCHWAB CHECKING","Rideshare","No","No","($1.63)"
"7/8/2022","STARBUCKS STORE","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($3.29)"
"7/8/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($2.33)"
"7/8/2022","SUBWAY","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($12.03)"
