"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"12/17/2023","ANJAPPAR CHETTINADPLNO","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($37.31)"
"12/17/2023","TST KARYA SIDDHI HANU","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($8.48)"
"12/17/2023","TST KARYA SIDDHI HANU","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($10.67)"
"12/16/2023","CINEMARK THEATRES TX","American Express - Amex Account - via Direct Web Access","AMEX","Entertainment","No","No","($19.15)"
"12/15/2023","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($2)"
"12/15/2023","WALMART SC PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($206.64)"
"12/15/2023","APLPAY STARBUCKS WA","American Express - Amex Account - via Direct Web Access","AMEX","Coffee","No","No","($10)"
"12/15/2023","SCHWAB BROKERAGE MONEYLINK WEB ID","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","($350)"
"12/15/2023","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($300)"
"12/15/2023","TMOBILE PCS SVC WEB ID","Chase - via Direct Web API","CHASE CHECKING","Phone, Internet & Cable","No","No","($252.83)"
"12/15/2023","TELADOC HEALTH I DIRECT DEP PPD ID","Chase - via Direct Web API","CHASE CHECKING","Income","No","No","$2177.56"
"12/14/2023","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$300"
"12/14/2023","SARAVANAA BHAVAN PLANO","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($19.33)"
"12/13/2023","AMAZON.COM AMZN.COM BILLWA","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($15.14)"
"12/12/2023","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($80.57)"
"12/12/2023","FOREIGN FEE","Chase - via Direct Web API","CHASE FREEDOM","Bank Fee","No","No","($0.08)"
"12/11/2023","CREPE DELICIOUS","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($13.42)"
"12/11/2023","DUNKIN","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($2.69)"
"12/11/2023","GOOGLE YOUTUBEPREMIUM","Chase - via Direct Web API","CHASE FREEDOM","Entertainment","No","No","($2.68)"
"12/11/2023","USPS PO PLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Shipping & Handling","No","No","($31.48)"
